advClientId,clientid_cr,pubClientId,clickIp,clmbUserId,imprId,siteId,goalid_cr,cityId_cr,stateDimId,countryDimId_cr,browserId_cr,adSltDimId,crtd,itmClmbLId,ispDimId,devTypeDimId,osVerDimId,conversion_fraud
75694,75694,2658,0,939ac754-f02d-484f-be52-4924b4144185-10u2c,03da25d3-794b-4882-97bf-6196806afda6-1sj4s,3,6384,10278,280429,144,129639,33,73,3,33,73,41,FALSE
75694,75694,15240,0,627213e1-49a5-47d4-9f5f-2ab594cd7f95-10ol4,04c43983-27fa-4d2c-818c-878d3924f4c9-1sj7k,178,6384,10240,163485,144,129639,337642,1.62E+12,5488088,199414,202038,196460,FALSE
75694,75694,15240,0,166b4d42-fa25-4a9e-9357-c67455f8643c-6mc0,05030ead-d327-460d-a4c6-62c4f14e9ac1-10nnt,178,6384,0,136127,144,129639,129239,1.62E+12,5488773,199452,202038,196460,FALSE
75694,75694,2310,0,1c3bca50-1edf-475e-b189-b41fed7f3c54-1sjwk,0505e483-4f9f-4ca1-a5d4-b5d02175e274-10ol4,16,6384,10240,281745,144,129639,33,73,51,28,52,73,FALSE
75694,75694,85030,0,3eea0b59-0a47-4a2e-bf48-a2083851f79a-1sito,05160630-0755-4e55-8509-48a2c952c825-1sjd4,3290,6384,439,0,144,129639,356952,1.62E+12,5488088,199452,202038,196460,FALSE
75694,75694,16951,0,57668698-99d6-4753-b9e3-b51fbdd6e3b6-3pjs,051d8dc1-37f9-4505-862e-3b7b33e870b6-1sito,568,6384,436,151879,144,129639,209126,1.62E+12,5488773,199452,202038,196460,FALSE
75694,75694,2308,0,758fdb2b-9d18-4577-af78-cb6f93710124-10ocs,05534cd1-ffb8-4889-af10-60b3554f15e3-10nw4,4,6384,34755,161223,144,129639,33,49,33,33,49,41,FALSE
31365,31365,13539,0,a6fc282e-b705-4420-9e3c-60654611e335-1sjlg,05b09722-9252-4fbe-874a-b8228e497253-1sito,205,4265,437,196047,144,129639,356312,1.62E+12,5615446,202038,0,129639,FALSE
75694,75694,2320,0,cd92087a-54b0-4911-bc3d-1144a3c2babd-1sjlg,061edef6-3d9d-408b-884a-ad840e6930ce-10o78,34,6384,0,172725,144,129639,321554,1.62E+12,5488088,199452,202038,196460,TRUE
75694,75694,15240,0,03af051e-844f-44e5-bef6-23fe9c561bab-10oa0,0696e378-c99e-4a98-ac49-69a3b49394eb-1slg4,178,6384,10295,266737,144,129639,129239,1.62E+12,5488773,199452,202038,196460,FALSE
75694,75694,15240,0,ff6f5323-fb93-4406-b681-957f6cf6761c-10udg,071e26f6-5cb6-4a6c-80fe-8db2e9c4a39b-1sjr0,178,6384,10239,136127,144,129639,337645,1.62E+12,5488773,199452,202038,196460,FALSE
75694,75694,15240,0,29ff9e70-e6aa-4be0-be56-f2b0de499884-10u54,08167507-3421-4680-b19a-e039401926da-1sjr0,178,6384,208118,273302,144,129639,337645,1.62E+12,5488773,199452,202038,196460,FALSE
75694,75694,15336,0,98127ec2-3498-4899-97d3-8272354ef7a2-10onw,086e980e-e81f-4cc2-96e8-0e10bb19dc21-h0k8,379,6384,0,136127,144,129639,33,50,73,33,50,33,FALSE
75694,75694,85030,0,cc30857a-2074-45d9-8627-0f4072c0e765-1siz8,0879d659-e51d-4212-9c4c-bc4c1d708ca8-1sjts,3290,6384,435,266737,144,129639,356952,1.62E+12,5488088,0,200866,196460,FALSE
75694,75694,15336,0,92b6f419-7bea-4d3d-8302-5592f7a69fb0-10ntc,08c5ef55-0f5e-4cd9-846f-e31fd2a773d4-1sjac,2116,6384,10278,280429,144,129473,33,50,73,33,50,33,FALSE
75694,75694,15240,0,143e451e-9078-48c3-b7ab-c26577862620-10tzk,09313622-9413-4627-bfb5-db7bc6e99017-62ys,178,6384,436,280429,144,0,129239,1.62E+12,5488773,0,0,0,FALSE
75694,75694,2658,0,eae86a9b-ce8a-410d-857c-3d6ee258c62e-6m6g,095a334e-cda9-47d6-b1e9-ed3b4a8fe1a7-1sj4s,3,6384,10313,266906,144,129639,33,73,41,28,52,73,FALSE
75694,75694,85030,0,5398573d-42e7-47a4-8696-47349ed27491-1sjo8,097dac64-72f7-45a2-b714-b51e9e170f5a-1siwg,3290,6384,439,136127,144,129639,356952,1.62E+12,5488088,199414,202038,196460,FALSE
75694,75694,65615,0,6a484a36-43b8-4502-b4ba-605a30d79662-3qjw,09a04e63-ab34-4685-b82f-f0560a31a5d5-1sjwk,2608,6384,438,280429,144,129639,33,73,41,28,52,73,FALSE
3180,3180,76969,144,fb47969b-5363-4e85-9294-5087257f8778,09a09dd3-e4ad-4755-8c35-e4e84ede1184-10oa0,2923,4405,440,1802,144,129433,334764,1.62E+12,5599101,136127,196041,360833,FALSE
32847,32847,8359,0,f3b573eb-017c-4cde-9f15-d9cfc73bb561-10w5c,09f51833-85db-4499-a085-ba3fcf55c23b-1sj20,1215,607,436,196041,144,129408,264415,1.62E+12,5576813,0,0,129408,FALSE
75694,75694,2658,0,728f256b-544d-4e9f-9b4b-d08cb262d36d-6mhk,0a1770e9-3327-4030-ac03-a5769d8231d9-1sjwk,3,6384,438,133765,144,129639,33,73,43,33,73,41,FALSE
75694,75694,85030,0,ed4f4f19-52c9-4584-95df-1de6900c698b-1sj20,0a4cee79-6b83-40da-aa99-83a919cd665d-10ni8,3290,6384,0,164681,144,129639,356952,1.62E+12,5488773,199414,202038,196460,FALSE
75694,75694,2320,0,f79f3de7-5edb-4319-9549-117f47996066-10wrk,0a937239-9091-4bb7-b26b-37d4bb29e50b-10oa0,34,6384,10300,136127,144,129639,321300,1.62E+12,5488088,199452,202038,196460,TRUE
8895,8895,15240,144,fe535fec-d068-4fd8-8eaf-c5a988089933-10vgc,0ac41ed2-511c-452a-ae5d-16bebb892de6-10ni8,179,405,10256,1804,144,129408,337641,1.62E+12,5602209,280429,196041,360833,FALSE
83515,83515,2310,117.212.110.91,9fa5df18-8438-4681-9d1e-e31ca2bb0298-10tu0,0b1ce17c-f734-42b1-ad9a-e26613ca00de-1sjwk,49,9115,34699,1817,144,129408,323134,1.62E+12,5551816,266906,196041,359919,FALSE
75694,75694,2658,0,3b5b70e7-cd79-4625-be7f-46c9c9828911-10u54,0b84fa88-7318-4e5f-b122-42b6d7ffccc9-1sj4s,3,6384,437,136127,144,129639,33,73,41,28,52,73,FALSE
75694,75694,85030,0,7877099a-4770-4ed4-ab9b-162886ba3af8-6mes,0be1acf1-f533-40be-959e-b7a8d502d7df-1sjlg,3290,6384,440,136127,144,129639,356952,1.62E+12,5488773,199452,202038,196460,FALSE
75694,75694,85030,0,38f530bc-9085-474e-bb0b-ea49eeed915f-62qg,0c6e147a-1dcc-493a-9124-652507d50519-1sjac,3290,6384,439,266913,144,129639,356952,1.62E+12,5488088,199452,202038,196460,FALSE
75694,75694,2658,0,9d98e6b8-015d-4d6f-91b8-daf774d851b5-62no,0c6ee21e-7dcc-4bf9-aa50-4728066fac69-3ps4,3,6384,322890,133765,144,129639,33,73,41,28,52,73,FALSE
75694,75694,15240,0,e6dde66a-ad47-4051-a239-4da289ee44a9-6m98,0c88917a-109b-4da0-9a8c-a3b776200e60-h0k8,178,6384,10240,147570,144,129639,129237,1.62E+12,5488773,199452,202038,196460,FALSE
75694,75694,85030,0,106d3080-4422-4425-b96d-c2a351fa6266-1sito,0cf740d4-6c48-4dc4-b697-dbb97cc1264f-1sjio,3290,6384,0,136528,144,129639,355688,1.62E+12,5488088,199452,202038,196460,FALSE
75694,75694,2658,0,92b1c344-21ef-4205-b346-8dbaa681bc36-1sjwk,0d0ea50f-261f-4784-bc16-c56dc4954586-10ntc,3,6384,0,280429,144,129639,33,73,41,28,52,73,FALSE
75694,75694,12755,0,ebd037db-3d8d-4a06-951b-6fe4645d42c7-1siz8,0d36ce91-c4a7-4179-9e39-334a89bcbe27-10nnt,187,6384,10315,285819,144,129639,33,72,63,33,72,13,FALSE
75694,75694,2308,0,4d18557d-07c0-4280-b761-86a5d39990af-10ol4,0d6d044a-078d-449f-8d96-ca8f19ef3d7e-10ntc,4,6384,10278,280429,144,129639,33,49,33,33,49,41,FALSE
32847,32847,16153,0,39acc520-6c67-4287-afdb-179c1d09b04d-1sjzc,0d8003f0-46d1-4ee2-ae3f-47b7e4df478a-1sj20,2627,607,10291,196041,144,129408,322157,1.62E+12,5576816,0,0,129408,FALSE
82122,82122,2658,121.200.208.42,82be0276-c1ca-4c7a-8a1a-545c15eb093c-10w84,0da85932-a68b-4161-a6da-531f24fa6c92-1sj20,3,8628,0,1434,406,196034,332775,1.62E+12,5526656,189415,196047,199452,FALSE
75694,75694,2308,0,480387bd-0b4b-47e0-9c12-9d7f7139e697-1sk7o,0ec236bc-01aa-441a-90d5-adbbcc283745-10ol4,4,6384,0,265493,144,129639,33,49,33,33,49,41,FALSE
29892,29892,76969,0,9325426b-52ac-4f63-9dbf-078192f810e5,0ec32eb6-2287-4a94-b5a3-6f88fb90f530-1sk24,2923,469,436,196041,144,129433,334760,1.62E+12,5583264,0,0,129433,FALSE
8895,8895,76969,144,a3771f5b-d66e-4c75-8ffd-e56c792225ba,0f3625c2-f8d7-4d1c-9e40-b370d0eb48c9-1sk7o,2923,405,10240,1802,144,129433,334758,1.62E+12,5601460,151879,196041,359921,FALSE
75694,75694,15240,0,94a075db-760e-4cc7-a0e3-37d8c4d950a4-1sjzc,0facdde3-edc1-4fad-b8de-b857ce886353-1sito,178,6384,10314,133765,144,129639,129239,1.62E+12,5488773,199414,202038,196460,FALSE
75694,75694,85030,0,c319f7dd-e3be-4a72-8c63-864aac154ceb-1sjac,0fd0f421-d6f0-4c9d-a89f-ea2547a5c4a3-1sjfw,3290,6384,34725,266906,144,129639,356952,1.62E+12,5488773,199452,202038,196460,FALSE
75694,75694,2320,0,10a967f6-c991-4f33-a212-9b42c8a60126-10w2k,0fe0e58a-4e84-43f7-97e5-703201ba01fe-1sk24,34,6384,439,136127,144,129639,321300,1.62E+12,5488088,199452,202038,196460,TRUE
75694,75694,65594,0,57572295-0516-4221-a6f9-e47d6e3be72c-10otg,10517496-fd4a-43e6-85f6-7a8fb1785b57-10ocs,2602,6384,0,266906,144,129639,33,50,33,33,49,83,FALSE
7750,7750,2310,433,2a4e1454-6044-401c-91fe-e24b72dfd908-10w5c,108e66fe-88ff-44e2-8034-6851024f61ae-3qs8,767,1589,0,341146,433,129408,215442,1.62E+12,5588470,146453,196041,359919,FALSE
85572,85572,65594,117.193.42.170,b6b7ada0-d2e6-4608-b619-9c837b215381-10ocs,10dbdefb-9829-4016-98e8-cf28c2206770-10nw4,2602,10346,34725,1807,144,129639,321523,1.62E+12,5599296,266906,196047,199452,FALSE
75694,75694,15240,0,fa7e28a6-ac0a-40fe-bf00-52df0087a3e6-6m98,10f1c2e7-09df-4540-89de-879afeb9a2a0-1sjzc,178,6384,440,183263,144,129639,337642,1.62E+12,5488773,199522,202038,196460,FALSE
3180,3180,2658,144,1140caf5-dee6-4729-a867-b68f9dd4f264-10wos,11e69bd8-71df-407d-aea4-e6a2f32eac9f-h0hg,39,4405,440,1802,144,129408,207114,1.62E+12,5611920,136127,196041,359919,FALSE
75694,75694,2658,0,cd510657-a498-4d9a-b50b-f63d6db39adc-3ps4,120f26c6-fee3-454a-80c2-a63793eb3e25-1sjwk,3,6384,438,277934,144,129639,33,73,41,28,52,73,FALSE
75694,75694,2658,0,3d37e4ef-e9e3-48ac-bc1a-95bfc2144d06-1sj7k,12e6d8dc-4f21-486c-9dbd-1f92254f597d-10ofk,3,6384,437,133765,144,129639,33,73,43,33,73,41,FALSE
75694,75694,2310,0,2ce8ec5c-3e35-44d6-b5f0-d402f500e248-6m3o,13145b65-451d-404f-a789-5f08542a9eed-1sjwk,16,6384,0,180916,144,129639,28,52,73,33,73,43,FALSE
85572,85572,85030,117.206.0.132,7a9defc8-5f75-4c3f-a230-9fd6112542a8-10nw4,131d6287-98c3-46fa-bba3-7905c07a759a-10onw,3290,10346,34724,1807,144,129639,355688,1.62E+12,5599296,266906,196047,199414,FALSE
75694,75694,15240,0,70a5c8ca-f94c-44f8-aea3-d690a781933f-10tu0,1351ad6f-90ab-478e-9446-43530aabf704-1sj4s,178,6384,10295,277934,144,129639,130098,1.62E+12,5488088,199414,202038,196460,FALSE
75694,75694,85030,0,216cabcc-e966-4667-b6a5-885907781790-1sjzc,13b174ce-b438-4625-9922-fe7eff780c33-1sjts,3290,6384,10284,133765,144,129639,356952,1.62E+12,5488088,199625,202038,196460,FALSE
75694,75694,2310,0,62aabb6a-6f15-476a-971d-db7e21fa9f12-1sj4s,13bb1cf6-4aef-414c-a7f8-876c41fcd4a1-3ps4,16,6384,439,0,144,129639,28,52,73,33,73,43,FALSE
85572,85572,16505,49.207.142.70,270a12da-ea59-49a7-aabe-704b8daf543d-6m98,13de15c7-c756-4108-9c74-89a6ae364b80-10nw4,494,10346,439,1815,144,129639,346465,1.62E+12,5599296,266737,196047,199522,FALSE
75694,75694,2320,0,38f33cff-24aa-4208-b5fa-bbf661c0fa25-1sjio,13eada8f-7c2f-4a11-869b-9302ca546d4a-h0k8,34,6384,440,132991,144,129639,320284,1.62E+12,5488088,199414,202038,196460,TRUE
75694,75694,15240,0,ca4ba5f0-3fc6-480b-b679-32bf2a90acd4-1sjtt,140dded6-bd0c-4a72-b2c8-48821da70085-10oic,178,6384,437,180305,144,129639,129239,1.62E+12,5488773,199452,202038,196460,FALSE
75694,75694,2658,0,e9158f65-8b2c-417e-85aa-e4ab49c93c96-10oa0,14683630-93a9-454b-90da-141d528eec6b-1sjlg,3,6384,10238,280429,144,129639,33,73,41,28,52,73,FALSE
75694,75694,2308,0,813d8b97-553c-447e-b497-351a8b38f837-1sk7o,14e09967-a186-472b-95d9-77a4c7f17bdb-1sjo8,4,6384,0,280429,144,129639,33,49,33,33,49,41,FALSE
75694,75694,2320,0,c0f6075e-b8df-438e-85d7-839dc5eb54a2-3ppc,1529b26b-91b2-4926-a9f2-0260fdf48460-1sj7k,34,6384,439,164681,144,129467,320283,1.62E+12,5488088,0,202149,196151,TRUE
75694,75694,15240,0,a4f1a1ad-daee-472d-be0a-1b2861c70e34-1sk24,1530a464-0e81-4db1-b862-1bb99c92ac00-62t8,178,6384,0,280429,144,129639,337642,1.62E+12,5488773,199452,202038,196460,FALSE
75694,75694,85030,0,fbe0cf90-e51a-49e6-85b2-ec1e8d3d5409-10ofk,15828d29-748d-4caf-9cf5-6e0b28d0a52b-10nw4,3290,6384,0,133765,144,129639,356952,1.62E+12,5488773,199414,202038,196460,FALSE
82122,82122,2658,35.231.94.58,8f313580-a573-4509-8e92-184462b573c2-10wj8,15c43ce1-5a10-49f0-a4e6-dc033b137e58-3qs8,3,8628,0,2437,145,0,233531,1.62E+12,5526656,150733,196047,0,FALSE
7750,7750,16153,144,c0635fca-b106-440f-906c-ddd2c04a1d47,15cb2bbe-ffd8-48d2-aec7-0fd8e90a789e-3qpg,1043,1589,435,129163,144,129433,328659,1.62E+12,5609973,266737,196041,359921,FALSE
84618,84618,2310,0,d8ede2ec-e292-4a25-8997-9b74523e98ad-10wdo,15e61fc2-f175-4886-97b9-47d6ad2b0726-10ni8,767,9836,0,280429,144,129408,33,50,71,28,52,73,FALSE
75694,75694,15240,0,199f78af-f46a-4123-a52e-b30c08530c64-10udg,1629ae52-8eae-4547-9186-b8bee41f5a5a-1sjd4,178,6384,436,134237,144,129639,130098,1.62E+12,5488773,199414,202038,196460,FALSE
75694,75694,85030,0,02a7b491-328f-4a4a-9617-c0a5b7bd9286-1sj7k,16d6eaee-1325-4d8d-89cb-31964345644c-10nnt,3290,6384,0,280429,144,129639,356952,1.62E+12,5488088,199452,202038,196460,FALSE
75694,75694,85030,0,b6991287-53e5-4f1f-99ce-5091edae1ca4-10wgg,16e93b39-75c3-420e-84b0-8e063adddf84-10ofk,3290,6384,34714,165748,144,129639,356952,1.62E+12,5488773,199452,202038,196460,FALSE
82122,82122,2658,108.246.15.75,b0927eba-fc2e-4d32-8fbf-af3bf8efe3f0-3ppc,172082b1-b37a-4a0d-bc07-d02584a253d9-10ol4,3,8628,0,2401,145,129639,336477,1.62E+12,5526656,266271,196047,199452,FALSE
75694,75694,16018,0,1758880a-d65a-4347-8b18-6f634291e2c3-1sjo8,1742e82b-19a4-41a8-83d4-f3c5e93b134c-1sjo8,245,6384,0,156196,144,129639,254786,1.62E+12,5488088,199522,202038,196460,TRUE
86431,86431,16153,0,f14d439d-a4f1-40a6-9bc5-84c1ccaa6413-10ntd,1750cd98-1781-47c1-81e3-98d7c5d8693a-10ni8,1057,10549,438,280429,144,0,33,49,43,33,73,41,FALSE
75694,75694,2658,0,326e4c85-d38d-4ae3-b218-709b461c9eb8-10wos,17949c63-0e09-4762-b58f-cf5bc8236a3e-1sj4s,3,6384,0,277934,144,129639,33,73,41,28,52,73,FALSE
75694,75694,2308,0,2debc054-631c-4283-b1f7-22364a7d7763-10wm0,18042dce-b679-4fea-9601-943ba8472d79-1sjd4,4,6384,10278,148498,144,129639,33,49,33,33,49,41,FALSE
75694,75694,2320,0,1db32d40-20e2-4365-a2fb-d4a0aba4f02f-10wj8,188c1f51-b260-47db-9a27-588223897bdf-h0hg,34,6384,10278,136127,144,129639,321300,1.62E+12,5488088,0,200866,196460,TRUE
75694,75694,85030,0,cd54ba98-655a-4040-b9fe-d6b14eee1d6b-10nns,189a0e33-3e45-49fb-97fb-f6a1e3a9a5ce-10ocs,3290,6384,436,266257,144,129639,356952,1.62E+12,5488088,199452,202038,196460,FALSE
75694,75694,2320,0,52251623-b731-48a0-be81-924789df8410-3ps4,18d71177-d843-4f14-9ccb-8717e300fd94-10ol4,34,6384,0,151530,144,129639,321554,1.62E+12,5488088,199452,202038,196460,TRUE
75694,75694,2658,0,11f7a636-e8fe-45d9-9ca1-ba842325078d-1sj4s,18dba8a5-35da-4e9c-8156-f80e74f784a0-10nw4,3,6384,0,269937,144,129639,33,73,41,28,52,73,FALSE
86321,86321,16153,2409:4056:e8a:8a10:6742:a894:108c:1ec8,f421cbab-a77f-4550-bade-5f510bdaa0c3-10vas,18dea702-0168-4a98-bd8e-b04515f88842-1slg4,2627,10517,0,2571,144,129408,322157,1.62E+12,5612571,280429,196041,206071,FALSE
75694,75694,85030,0,b07619c2-ddd1-4514-b027-9c1b5fffbb8c-1sjts,1909003d-4371-403b-acf1-bed6aa373604-1siwg,3290,6384,0,280429,144,129639,356952,1.62E+12,5488088,199414,202038,196460,FALSE
75694,75694,15240,0,a23eefbc-0467-4b93-9e66-e3c87a4ef506-10tzk,19a8f928-e2b1-4c11-b099-1308a3c3b1b6-1sj4s,178,6384,10255,266906,144,129639,129239,1.62E+12,5488088,199414,202038,196460,FALSE
32847,32847,65594,0,647fb9cf-2633-4542-b057-79cfbe15007f-10nnt,19b280ee-603d-4fd9-b6f0-e88e0f597d95-10nnt,2604,607,436,196041,144,129408,321533,1.62E+12,5544928,0,0,129408,FALSE
75694,75694,2308,0,c619d8e6-bf72-46a9-b272-902b84a57cce-1sjd4,19f7d395-8ce4-487c-9281-137cb0f5728b-h0k8,4,6384,436,136127,144,129639,33,49,33,33,49,41,FALSE
75694,43386,85030,0,f9872171-a00d-4185-8ee6-4b2ff842e372-1sj4s,1a530615-33bb-47a3-a38c-6d686525cac6-1sk24,3290,8681,10290,147958,144,129639,356952,1.62E+12,5488088,199452,202038,196460,FALSE
75694,75694,85030,0,f9872171-a00d-4185-8ee6-4b2ff842e372-1sj4s,1a530615-33bb-47a3-a38c-6d686525cac6-1sk24,3290,6384,10290,147958,144,129639,356952,1.62E+12,5488088,199452,202038,196460,FALSE
24075,24075,16211,0,5ec84d65-7867-4aa2-bcac-330fc484b6da-1sjip,1ac04a31-1aae-4edc-ab92-354a5040b882-1sjts,535,4077,10240,348021,144,129408,336665,1.62E+12,5614151,129311,196073,196041,FALSE
32847,32847,8359,0,3f4f3b86-1c24-4819-a0d7-1045bb5bd0d2-6m98,1aec8735-1ec7-41d6-a5b3-9b194cb17cd0-10ni8,1215,607,436,196041,144,129408,264415,1.62E+12,5576813,0,0,129408,FALSE
75694,75694,2320,0,f1e2610e-8073-46ff-8e8b-30f66e02d31f-1sjzc,1b1f4282-0076-43b5-bcb2-5c121a7a4660-1sjwk,34,6384,439,266737,144,129639,321554,1.62E+12,5488088,199452,202038,196460,TRUE
75694,75694,15240,0,7da554d1-e219-44b8-aecc-e20b6ddbdf78-1sjts,1b523dc8-9525-4a1e-b5e3-daeae46bfb3d-10ofk,178,6384,10278,133765,144,129639,129784,1.62E+12,5488773,199452,202038,196460,FALSE
75694,75694,2308,0,baf6b1d2-94a5-4b62-be3e-7e583ca9e1c8-h0k8,1ba2b04d-36bf-45b4-be4e-591b9fd55284-h0hg,4,6384,10240,190212,144,129639,33,49,33,33,49,41,FALSE
75694,75694,2320,0,d35dde2d-1870-4a2f-8931-f86d7fc4d2e5-6m3o,1c2cab34-e130-4bcf-8831-69e7908e657b-10oic,34,6384,438,133765,144,129639,322232,1.62E+12,5488088,0,200866,196460,TRUE
75694,75694,15240,0,0567823f-b479-48a6-bc0a-33d6499b4482-10wrk,1c51e604-edfa-44ae-a2fb-b6cad547c68c-1sjr0,178,6384,0,285749,144,129639,129239,1.62E+12,5488088,199414,202038,196460,FALSE
75694,75694,2658,0,094e554e-c71e-4bbc-ae4b-8041f5b27bd6-3ppc,1c97f773-4479-4ebb-86c8-dd16b8ca2e7a-1siz8,3,6384,0,266913,144,129639,33,73,41,28,52,73,FALSE
67368,67368,16153,2409:4051:5:5c56::11fe:30a0,0840fe12-66f9-4d51-ad98-3d3202a273b0,1d000219-817c-451f-bea8-6225a52fc939-10onx,1043,8784,208118,348027,144,129433,321109,1.62E+12,5615451,129311,196472,196041,FALSE
75694,75694,15240,0,f7e13f19-19d9-49ac-9aa3-b9fd74463138-10ni9,1d02311b-4e78-41c3-9071-e686c1d564f5-1slg4,178,6384,0,172542,144,129639,337642,1.62E+12,5488773,199414,202038,196460,FALSE
75694,75694,2320,0,f2eb7a65-8ca7-49d8-95ec-61eb4c398fd1-3rh8,1e003896-2476-4baf-b223-4f166ffb6990-10nns,34,6384,10240,147570,144,129639,322232,1.62E+12,5488088,199414,202038,196460,TRUE
82122,82122,2658,70.52.235.195,141307c7-95f4-4982-a927-7b5e580bca9c-1sjfw,1e98e869-28ad-46b1-9020-f92ffe293420-10nqk,3,8628,4845,1504,149,129639,332783,1.62E+12,5526656,135885,196047,199414,FALSE
32847,32847,16258,0,3ffeeeda-5765-49e0-8b15-89534b166110-1sjac,1f6149e5-ec53-481f-a95e-42acdfdcf6dc-1sj7k,2607,607,439,196041,144,129408,326573,1.62E+12,5576816,0,0,129408,FALSE
75694,75694,85030,0,ebacfa82-90c8-4dff-82b8-876fc3aadd02-6mkc,1f74a971-ace1-49dc-b77e-80557dc3c3c4-1sj7k,3290,6384,10300,136127,144,129639,356952,1.62E+12,5488773,199452,202038,196460,FALSE
82122,82122,2658,174.88.146.173,b4a610e1-4707-4435-9495-0981df5f855b-1sjlh,1f871e8f-73ba-4317-b420-aa69cadb7fcd-h0hg,3,8628,0,1504,149,196034,233531,1.62E+12,5526656,135885,196047,199452,FALSE
75694,75694,82030,0,8b76fe6c-df91-488e-85ff-654a11c3f5c7-10u54,200d0995-e85d-4cf0-acf5-ade623372299-1siz8,3130,6384,10231,133765,144,129467,348323,1.62E+12,5488088,199414,204038,196151,FALSE
75694,75694,2658,0,5bd62d96-95d1-4e05-a9b0-11a7b6fdc91f-10ntc,2058b8ed-2e7c-4260-a03b-168812d9cf38-1sjfw,3,6384,10250,133765,144,129639,33,73,41,28,52,73,FALSE
75694,75694,2658,0,1b0e8fac-7051-4662-b819-7478c6cb122c-10uao,205f4d5d-90e6-4282-b93f-11d9c9e6bfff-1siz8,3,6384,10255,136127,144,129639,33,73,41,28,52,73,FALSE
75694,75694,15240,0,c3c929a8-875e-49e7-916e-b1787d649594-10w5c,20698dab-d70e-41d0-9cc9-187c6eebc47a-1sjd4,178,6384,440,266913,144,129639,129237,1.62E+12,5488773,199625,202038,196460,FALSE
85572,85572,82030,117.213.64.216,50c11246-21b4-4289-a15d-132aa767019e-10wgg,20bb8203-3a9d-4f7d-b013-83ee98bb028e-10oa0,3130,10346,0,1815,144,129639,348323,1.62E+12,5599296,266906,196047,199522,FALSE
75694,75694,15240,0,8d6c8cfa-15d7-4db4-b079-882a604024f7-10u7w,20bb99d1-295c-4a0f-b39d-49c87939e749-10ni8,178,6384,435,266906,144,129639,129237,1.62E+12,5488773,199414,202038,196460,FALSE
75694,75694,2308,0,1b1c6243-a8e6-4d0f-b110-363fa1424667-10wos,21189802-09e7-40aa-9014-f7fbd60b4bff-62qg,4,6384,322888,0,144,129639,33,49,33,33,49,41,FALSE
75694,75694,16892,0,8ab4d93c-fd81-44d6-82e6-b37d4cc8b0bf-1sj20,2125356a-2ebd-45d0-a2fe-d8e1d9406602-10nqk,549,6384,0,265493,144,129639,209035,1.62E+12,5488773,199452,202038,196460,FALSE
7750,7750,76969,144,9731d535-8fbd-45d3-923e-56431cc19655,21ed3e4d-62f3-4051-aaa5-af48e7d85148-10nw4,2923,1589,439,1815,144,129433,349010,1.62E+12,5610730,266737,196041,359921,FALSE
